name,target,version,median,min,max,accuracy
C++ (avx2),cpp-avx2,15.2.0,350.61,350.57,351.65,9.4973
Zig,zig,0.15.2,351.37,351.31,351.98,9.4985
Fortran 90,fortran,14.2.0,351.55,351.32,351.6,9.3895
D (LDC),d-ldc,1.41.0,352.54,352.38,352.85,9.4985
C (clang),c-clang,21.1.2,353.46,353.23,361.25,9.4985
C++ (clang++),cpp-clang,21.1.2,353.54,353.49,353.9,9.4985
C# (SIMD),cs-simd,10.0.103,355.54,355.39,355.59,9.4946
Swift,swift,6.2.4,358.89,358.84,359.69,9.8565
Rust (nightly),rust-nightly,1.96.0,361.13,360.76,362.06,9.4952
C (gcc),c,15.2.0,400.06,399.42,400.17,9.4943
C++ (g++),cpp,15.2.0,400.17,399.76,400.47,9.4943
D (GDC),d,15.2.0,403.99,403.17,405.03,9.4943
Nim,nim,2.2.0,422.77,422.76,423.01,9.5
Common Lisp (SBCL SIMD),sbcl-simd,2.5.11,580.36,579.82,580.51,9.4973
Julia,julia,1.12.5,669.88,669.75,671.19,9.4958
Swift (SIMD),swift-simd,6.2.4,836.55,834.71,838.88,8.6928
Rust,rust,1.92.0,935.73,935.14,936.03,9.4979
WASM (C via Wasmtime),wasm,39.0.1,1161.84,1160.41,1175.05,9.4979
Objective-C,objc,21.1.2,1401.73,1401.71,1402.17,9.4964
Pascal (FPC),pascal,3.2.2,1402.51,1402.48,1402.65,9.4979
Scala,scala,3.7.4,1402.69,1402.65,1402.95,9.4979
Crystal,crystal,1.18.2,1404.08,1403.34,1414.35,9.4964
V,v,0.4.12,1403.57,1403.5,1404.29,9.4979
OCaml,ocaml,5.4.0,1405.56,1403.65,1406.27,9.4971
Go,go,1.25.7,1404.19,1404.12,1404.54,9.4964
Ada (gnat-gcc),ada,15.2.0,1405.11,1404.3,1407.32,9.4964
C#,cs,10.0.103,1407.15,1406.35,1407.57,9.4979
Common Lisp (SBCL),sbcl,2.5.11,1406.84,1406.44,1406.98,9.4979
Pony,pony,0.58.0,1407.73,1407.17,1413.35,9.4979
F#,fs,10.0.103,1409.28,1409.21,1409.61,9.4979
Java graalvm,java-graalvm,25.0.1,1414.46,1410.38,1414.79,9.4964
Swift (relaxed),swift-relaxed,6.2.4,1411.7,1410.55,1413.35,9.4979
Javascript (bun),bunjs,1.3.10,1461.12,1454.47,1463.76,9.4979
Haxe (C++),haxe,4.3.6,1464.67,1457.73,1472.2,9.4964
LuaJIT,luajit,2.1.1723681758,1462.02,1458.36,1464.14,9.4964
Dart (AOT),dart-aot,3.11.1,1470.11,1468.9,1473.37,9.4979
Pony(nightly),pony-nightly,20231205,1479.74,1479.66,1481.95,9.4979
Deno (TypeScript),deno,2.7.4,1553.29,1551.15,1579.56,9.4979
Odin,odin,2025,1588.87,1587.22,1590.42,9.4979
Javascript (nodejs),nodejs,25.8.0,1600.6,1595.93,1604.18,9.4979
Python (Numba),cpython-numba,3.13.12,1649.02,1630.25,1665.26,9.4964
Racket,racket,9.1,1787.1,1767.42,1810.06,9.4964
Java (Vec Ops),java-vecops,25.0.2,1835.69,1835.57,1867.67,9.4979
Kotlin,kotlin,2.2.21,1952.15,1950.88,1954.17,9.4979
Haskell (GHC),haskell,9.10.3,2508.14,2507.82,2508.42,9.4979
Python (NumPy),cpython-numpy,3.13.12,3643.42,3421.58,3839.56,9.4971
Java,java,25.0.2,3488.69,3488.28,3491.31,9.4964
Clojure,clj,1.12.4.1612,4055.45,4024.16,4064.89,9.4979
Python (MyPyC),mypyc,1.19.1,4403.06,4396.64,4403.45,9.4979
Groovy,groovy,5.0.4,4636.58,4501.08,4647.44,9.4964
R,r,4.5.2,4665.16,4663.84,4668.94,9.4971
Dart (JIT),dart,3.11.1,5612.06,5486.82,5710.29,9.4979
Python (PyPy),pypy,3.11.13,6976.6,6969.76,6981.91,9.4964
Octave (Vectorised),octave-vectorised,10.3.0,12781.75,11855.04,41577.0,9.4971
Erlang,erlang,28.4,14472.85,14107.67,14612.04,9.4964
Lua,lua,5.4.8,15333.09,15322.43,15338.49,9.4964
PHP,php,8.4.18,16379.43,16373.86,16391.9,9.4964
Elixir,elixir,15.2.7.6,18410.9,18290.02,18533.93,9.4964
Janet (compiled),janet-compiled,1.41.2,23766.98,23746.83,23771.68,9.4964
Gleam,gleam,1.14.0,43643.75,43583.28,43966.77,9.4964
Ruby,ruby,3.4.8,66128.87,66049.09,66203.0,9.4964
Janet,janet,1.41.2,101148.14,100086.67,101411.42,9.4964
Raku,raku,2026.01,122914.35,120995.2,125463.06,9.4964
Perl,perl,5,135692.25,134167.62,135949.51,9.4964
Python (CPython),cpython,3.14.3,145846.26,145751.79,146861.16,9.4964
Octave,octave,10.3.0,1535423.21,1532546.4,1540437.1,9.4979
